"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2323065/buy","Pink printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-white--blue-printed-straight-kurta/1685302/buy","White and blue A-line kurta, has a v-neck, three-quarter sleeves, straight hem, side slits","100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-red-solid-a-line-kurta/1997993/buy","Red solid A-line kurta, has a mandarin collar, three-quarter sleeves, curved hem, no slits","Polyester  Hand-wash"
"kurtas/anouk/anouk-women-teal-blue-solid-a-line-kurta/1414189/buy","Teal blue solid A-line kurta, has a mandarin collar, three-quarter sleeves, a pocket,&nbsp;straight hem","100% viscose  Hand-wash"
"kurtas/anouk/anouk-women-navy-blue-printed-straight-kurta/1556682/buy","Navy blue printed straight kurta, has a round neck, three-quarter sleeves, straight vented hem","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-orange-a-line-kurta/1427173/buy","Orange A-line kurta, has a round neck, three-quarter sleeves with roll-up tabs, a mock button placket,&nbsp;front slit","Cotton Hand-wash"
"kurtas/anouk/anouk-women-red--black-striped-straight-kurta/1714339/buy","Red and black striped straight kurta with embroidered detail, has a mandarin collar, three-quarter sleeves with button-and-tab detail, straight hem, side slits","Polyester blendHand-wash"
"kurtas/anouk/anouk-blue-printed-straight-kurta/1683269/buy","Blue printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-red-yoke-design-straight-kurta/1999977/buy","Red yoke design straight kurta, has a round neck, short sleeves, straight hem, multiple slits","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-red--white-printed-straight-kurta/1548313/buy","Red and white&nbsp;printed straight kurta, has a round neck, three-quarter sleeves, slits on the front and sides","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-orange-printed-straight-kurta/1750274/buy","Orange printed straight kurta, has a round neck, short sleeves, straight hem, front slit","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/1536980/buy","Black printed straight kurta, has a shirt collar, three quarter sleeve, straight hem","Rayon  Hand-wash"
"kurtas/anouk/anouk-women-blue-embroidered-a-line-kurta/1714355/buy","Blue woven A-line kurta with embroidered detail, has a round neck, three-quarter sleeves, straight hem, side slits","Polyester Hand-wash"
"kurtas/anouk/anouk-women-beige-printed-a-line-kurta/1497878/buy","Beige printed A-line kurta, has a round neck, three-quarter sleeves, straight vented hem","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-black--red-printed-straight-kurta/1679921/buy","Black and red printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-yellow-a-line-kurta/1775972/buy","Yellow kurta, has a keyhole neck with a tie-up deatiling, three-quarter sleeves, flared hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-pink-solid-a-line-kurta/1775971/buy","Pink kurta, has a keyhole neck with a tie-up detail, three-quarter sleeves, curved hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-pink--green-printed-sheer-cold-shoulder-kaftan-kurta/1705899/buy","Pink and green printed sheer kaftan kurta, has a V-neck, three-quarter sleeves with a slit, dipped hem","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-orange-solid-a-line-kurta/1846841/buy","Orange solid A-line kurta, has a round neck, three-quarter sleeves, high-low hem, no slits","Viscose blend  Hand-wash"
"kurtas/anouk/anouk-brown-printed-kurta/1385338/buy","Brown printed kurta with gotta detailing, has a round neck,&nbsp;three-quarter sleeves, and side slits","100% cottonMachine-wash cold"
"kurtas/anouk/anouk-women-off-white--red-printed-a-line-kurta/1679926/buy","Off-white and red printed A-line kurta with multiple slits, has a round neck, three-quarter sleeves, curved hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-pink--yellow-printed-a-line-kurta/1770970/buy","Pink and yellow printed kurta, has a mandarin collar, short sleeves, asymmetric hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-green-solid-a-line-kurta/1775943/buy","Green kurta, has a V-neck, sleeveless, a printed panel, pom-pom trim along the hem","Polyester  Machine-wash"
"kurtas/anouk/anouk-women-orange--yellow-printed-straight-kurta/1750292/buy","Orange and yellow printed Straight kurta, has a round neck, short sleeves, curved hem","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-beige--rust-red-printed-a-line-kurta/1732630/buy","Beige and rust red printed A-line kurta, has a mandarin collar, three-quarter sleeves with roll-up tab feature, silts on th front, flared hem","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-blue--white-printed-a-line-kurta/1926702/buy","Blue and white printed A-line kurta, has a V-neck, three-quarter sleeves, straight hem","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-navy-solid-straight-kurta/1848971/buy","Navy blue solid straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-cream-coloured-printed-straight-kurta/1999992/buy","Cream-coloured printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-red--beige-printed-straight-kurta/1999969/buy","Red and beige printed straight kurta, has a mandarin collar, three-quarter sleeves, curved hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-mustard-printed-straight-kurta/1436540/buy","Mustard printed straight kurta, has a round neck, three quarter sleeve, straight hem","Viscose  Hand-wash"
"kurtas/anouk/anouk-women-navy-woven-design-kurta/1556709/buy","Navy blue woven design kurta with a front slit, has a boat neck, long sleeves, solid back","100% polyester  Hand-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/1495368/buy","Black printed straight kurta, has a round neck, three-quarter sleeves with roll-up tab features, straight hemComes with a lining","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-blue-solid-a-line-chambray-kurta/1680884/buy","Blue solid A-line kurta, has a round neck, short sleeves, high-low hem","100% cotton  Machine-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/1556684/buy","Black printed straight kurta, has a round neck, three-quarter sleeves, straight vented hem","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-off-white--pink-floral-print-a-line-kurta/1705014/buy","Off-white and pink floral print A-line kurta, has a notched round neck, three-quarter sleeves, side slits, an attached lining","Shell: 100% polyesterLining: 100% cottonHand-wash"
"kurtas/anouk/anouk-women-black--white-printed-straight-kurta/1446649/buy","Black and white printed straight kurta, has a shirt collar, a full button placket,&nbsp;three-quarter sleeves, straight hem","100% rayon  Hand-wash"
"kurtas/anouk/anouk-women-navy-printed-a-line-kurta/1548314/buy","Navy blue printed a-line kurta, has a round neck, three quarter sleeve, high-low hem","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-teal-blue-solid-kurta/1705225/buy","Teal green solid kurta, has a mandarin collar, short sleeves, high-low hem, side slits","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-yellow--pink-striped-a-line-kurta/1714335/buy","Yellow and pink woven A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","Polyester Hand-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/1679923/buy","Black printed A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem","100% polyester  Machine-wash"
