"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2323065/buy","Pink printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-grey--magenta-printed-angrakha-kurta/2370082/buy","Grey and magenta printed Angrakha kurta, has a round neck, three-quarter sleeves, straight hem, side slits","ViscoseMachine-wash"
"kurtas/anouk/anouk-women-black-embroidered-a-line-kurta/2370006/buy","Black embroidered A-line kurta, has a round neck, three-quarter sleeves, flared hem","Viscose Rayon  Hand-wash"
"kurtas/anouk/anouk-women-orange-chanderi-blend-printed-a-line-kurta/2323265/buy","Orange printed A-line kurta, has a boat neck, three-quarter sleeves, flared hem","Chanderi blendHand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta-with-embroidered-detail/2323241/buy","Blue printed A-line kurta with embroidered detail , has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-red--white-printed-a-line-kurta/2322966/buy","Red and white printed A-line kurta, has a V-neck, three-quarter sleeves, curved hem, no slits","ViscoseHand-wash"
"kurtas/anouk/anouk-women-off-white-embroidered-a-line-kurta/2012125/buy","Off-White embroidered A-line kurta, has a shirt collar, short sleeves, asymmetric hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-green-embroidered-straight-kurta/2322842/buy","Green embroidered straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-green--red-printed-a-line-kurta/2323177/buy","Green and red printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-white--blue-printed-a-line-kurta/2323230/buy","White and blue printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-red--white-printed-fusion-kurta/2322978/buy","Red and white printed straight kurta, has a V-neck, three-quarter sleeves, straight hem, high side slits with pom-pom detailing","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-maroon--beige-printed-straight-kurta/2140523/buy","Maroon and beige printed straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","60% cotton, 40% viscoseMachine-wash"
"kurtas/anouk/anouk-women-black-embroidered-straight-kurta/2323190/buy","Black embroidered straight kurta, has a round neck, three-quarter sleeves, straight hem, multiple slits","100% CottonMachine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2322963/buy","Black printed A-line kurta, has a shirt collar, three-quarter sleeves, curved hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-black-printed-a-line-kurta/2322907/buy","Black printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyesterMachine-wash"
"kurtas/anouk/anouk-women-black--brown-printed-a-line-kurta/2323131/buy","Black and brown printed A-line kurta, has a mandarin collar, three-quarter sleeves, curved hem, multiple slits","ViscoseHand-wash"
"kurtas/anouk/anouk-women-yellow-solid-anarkali-kurta/2194218/buy","Yellow solid woven anarkali kurta, has a round neck, three-quarter sleeves, flared hem","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-white--blue-striped-a-line-kurta/2323248/buy","White and blue striped A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-pink-printed-anarkali-kurta/2323019/buy","Pink and gold-toned printed Anarkali kurta, has a keyhole neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-blue--grey-printed-a-line-kurta/2323246/buy","Blue and grey printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
