"kurtas/anouk/anouk-women-off-white--green-printed-a-line-kurta/2370066/buy","Off-white and green printed A-line kurta, has a mandarin collar, three-quarter sleeves, curved hem, no slits","80% cotton, 20% viscoseHand-wash"
"kurtas/anouk/anouk-women-green-printed-long-kurta/1707758/buy","Green printed A-line kurta, has a V-neck, three-quarter sleeves, side slits with pom-pom detail","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-red-solid-straight-kurta/2323183/buy","Red solid straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","85% viscose, 15% polyesterMachine-wash"
"kurtas/anouk/anouk-women-blue--white-printed-a-line-kurta/2322792/buy","Blue and white printed A-line kurta, has a round neck, sleeveless, flared hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-black-printed-straight-kurta/2323069/buy","Black printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-beige--pink-printed-straight-kurta/2322879/buy","Beige and pink printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-maroon-woven-design-a-line-kurta/2323067/buy","Maroon woven design A-line kurta, has a round neck, three-quarter sleeves, curved hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-red-woven-design-straight-kurta/1705222/buy","Red woven design straight kurta, has a shirt collar, a short button placket, three-quarter sleeves with tie-ups, curved hem, a pocket, side slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-brown--yellow-printed-a-line-kurta/2370021/buy","Brown and yellow printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Viscose and cottonMachine-wash"
"kurtas/anouk/anouk-women-navy-blue--off-white-printed-a-line-kurta/1707047/buy","Navy blue and off-white printed A-line kurta, has a square neck, short sleeves, asymmetric hem, no slits","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-red-printed-a-line-kurta/2322972/buy","Red printed A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","Cotton Hand-wash"
"kurtas/anouk/anouk-women-maroon--grey-printed-a-line-pleated-kurta/2322779/buy","Maroon and grey printed A-line pleated kurta, has a mandarin collar, three-quarter flared sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-grey--mustard-yellow-printed-a-line-kurta/2323040/buy","Grey and mustard yellow printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-grey--maroon-printed-a-line-kurta/2322788/buy","Grey and maroon printed A-line kurta, has a round neck, sleeveless, asymmetric hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-red--beige-kalamkari-printed-straight-kurta/1708232/buy","Red and beige kalamkari printed straight kurta, has a round neck, three-quarter sleeves, side slits, asymmetrical hem","100% viscose Hand-wash"
"kurtas/anouk/anouk-women-multicoloured-printed-a-line-kurta/2322974/buy","Multicoloured A-line kurta with pleated detailing, has a keyhole neck with tie-up detailing, three-quarter sleevesThis kurta can also be styled as a dress","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2128220/buy","Blue printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-pink-solid-anarkali-kurta/2370108/buy","Pink solid anarkali kurta, has a round neck, short sleeves, flared hem, no slitsManufacturer Info: Omnipresent LifestyleCountry of Origin: India","100% polyesterDry-clean"
"kurtas/anouk/anouk-women-white--orange-printed-a-line-kurta/2322969/buy","White and orange printed A-line kurta, has a round neck, three-quarter sleeves, straight hem","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-orange-solid-straight-kurta/2021313/buy","Orange solid straight kurta with embroidered detailing and foil print, has a round neck, three-quarter sleeves, straight hem, multiple slits","Polyester Hand-wash"
"kurtas/anouk/anouk-women-red--green-printed-a-line-kurta/2323076/buy","Red and green printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-navy-blue--off-white-printed-a-line-kurta/2322781/buy","Navy blue and off-white printed A-line kurta, has a mandarin collar, three-quarter flared sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-teal-green-printed-a-line-kurta/2323162/buy","Teal green printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-navy--maroon-printed-a-line-kurta/2322811/buy","Navy blue and maroon printed A-line kurta, has a mandarin collar, short sleeves, asymmetric hem, multiple slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-peach-coloured-woven-design-straight-kurta/2322838/buy","Peach-coloured woven design straight kurta, has a mandarin collar, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-kurta/2323034/buy","Blue printed A-line kurta, has a square neck, short sleeves, high-low hem, no slits","100% cottonMachine-wash"
"kurtas/anouk/anouk-women-brown--magenta-woven-design-a-line-kurta/2322785/buy","Brown and magenta printed A-line kurta, has a V-neck, three-quarter sleeves, asymmetric hem","100% viscoseHand-wash"
