"kurtas/aks/aks-women-blue--magenta-printed-off-shoulder-anarkali-kurta/2111532/buy","Blue and magenta printed Anarkali kurta, has an off-shoulder neck, short sleeves, flared hem","Viscose Machine-wash"
"kurtas/aks/aks-women-blue--off-white-printed-straight-kurta/2249986/buy","Blue, off-white and grey printed straight kurta, has a round neck, three-quarter sleeves, slits on the shoulder, button closures on the back, straight hem, side slits","Cotton Machine-wash"
"kurtas/aks/aks-women-navy-blue--red-printed-anarkali-kurta/2250037/buy","Navy and red printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Viscose Machine-wash"
"kurtas/aks/aks-women-beige--peach-coloured-colourblocked-straight-kurta/2448854/buy","Beige and peach-coloured colourblocked straight kurta, has a round neck, sleeveless, straight hem, side slits","ViscoseMachine-wash"
"kurtas/aks/aks-women-navy--beige-printed-straight-kurta/2262286/buy","Navy and beige printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Cotton Machine-wash"
"kurtas/aks/aks-women-navy-blue--red-printed-straight-kurta/2250039/buy","Navy blue and red printed straight kurta, has a V-neck, short sleeves, straight hem, side slits","Viscose Machine-wash"
"kurtas/aks/aks-women-brown--grey-printed-off-shoulder-a-line-kurta/2111533/buy","Brown and grey printed off-shoulder A-line kurta, has short sleeves, flared hem, no slits","Viscose rayon  Machine-wash cold"
"kurtas/aks/aks-women-navy--off-white-printed-straight-kurta/2167343/buy","Navy and off-white printed straight kurta, has a round neck with a tie-up detail, three-quarter sleeves, flared hem, side slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-maroon--black-printed-off-shoulder-straight-kurta/1945104/buy","Maroon and black printed straight kurta, has an off-shoulder, sleeveless, straight hem, side slits","Cotton Machine-wash cold"
"kurtas/aks/aks-women-black-printed-detail-straight-kurta/2111379/buy","Black and blue printed detail straight kurta, has a stylised mandarin collar, three-quarter sleeves, straight hem, side slits","Cotton Machine-wash"
"kurtas/aks/aks-women-black--off-white-printed-straight-kurta/2493414/buy","Black and off-white printed straight kurta, has a round neck, short sleeves, straight hem, side slits","Cotton Machine-wash"
"kurtas/aks/aks-women-orange--mustard-yellow-printed-anarkali-kurta/1945096/buy","Orange and mustard yellow printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-navy-solid-straight-kurta/2111407/buy","Navy solid straight kurta with printed and gota patti detail, has a round neck, three-quarter sleeves, a straight hem, and side slits","CottonMachine-wash cold"
"kurtas/aks/aks-women-off-white--yellow-printed-anarkali-kurta/2111383/buy","Off-white and yellow printed Anarkali kurta, has a round neck, three-quarter bell sleeves with ruffles, and a flared hem","Cotton Machine-wash cold"
"kurtas/aks/aks-women-brown--off-white-printed-anarkali-kurta/2448918/buy","Brown and off-white printed Anarkali kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-red--navy-printed-a-line-kurta/2250038/buy","Red and navy printed A-line kurta, has a round neck, short sleeves, flared hem, no slits","ViscoseMachine-wash"
"kurtas/aks/aks-women-blue--white-printed-a-line-kurta/2095084/buy","Blue and white printed A-line kurta with tie-up detail, has a round neck, three-quarter sleeves, flared and pleated hem","Cotton Machine-wash"
"kurtas/aks/aks-women-navy-blue--cream-coloured-khari-print-anarkali-kurta/2249968/buy","Navy blue, cream-coloured and golden khari print Anarkali kurta, has a round neck, short sleeves, flared hem","CottonDry-clean"
"kurtas/aks/aks-women-blue--red-printed-a-line-kurta/2262276/buy","Blue and red printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, multiple slits","Cotton Machine-wash"
"kurtas/aks/aks-women-red--mustard-yellow-printed-anarkali-kurta/2448903/buy","Red and mustard yellow printed Anarkali kurta, has a mandarin collar, three-quarter sleeves, flared hem, no slits","Cotton  Machine-wash"
"kurtas/aks/aks-women-black--grey-printed-anarkali-kurta/2493400/buy","Black and grey printed Anarkali kurta, has a stylised stand collar, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-peach-coloured-solid-straight-kurta/2448890/buy","Peach-Coloured solid straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","Polyester crepeMachine-wash"
"kurtas/aks/aks-women-pink--yellow-floral-print-a-line-kurta/2493422/buy","Pink and yellow floral print A-line kurta, has a round neck, three-quarter sleeves, curved hem, no slits","Cotton Machine-wash"
"kurtas/aks/aks-women-blue-solid-straight-kurta/2111406/buy","Blue solid straight kurta, has a round neck, short sleeves, straight hem, side slits","Cotton  Dry-clean"
